x,y,val
-1.65,-0.05,-0.109307
-1.65,1.20737e-15,-0.110389
-1.65,0.05,-0.109307
-1.65,0.1,-0.108225
-1.65,0.15,-0.107143
-1.65,0.2,-0.106061
-1.65,0.25,-0.103063
-1.65,0.3,-0.100064
-1.65,0.35,-0.097066
-1.65,0.4,-0.0940677
-1.65,0.45,-0.0898048
-1.65,0.5,-0.0855419
-1.65,0.55,-0.081279
-1.65,0.6,-0.0770161
-1.65,0.65,-0.072314
-1.65,0.7,-0.0676118
-1.65,0.75,-0.0629097
-1.65,0.8,-0.0582075
-1.65,0.85,-0.0538081
-1.65,0.9,-0.0494088
-1.65,0.95,-0.0450094
-1.65,1,-0.04061
-1.65,1.05,-0.0369961
-1.65,1.1,-0.0333822
-1.65,1.15,-0.0297682
-1.65,1.2,-0.0261543
-1.65,1.25,-0.0235031
-1.65,1.3,-0.0208518
-1.65,1.35,-0.0182005
-1.65,1.4,-0.0155493
-1.65,1.45,-0.0137954
-1.65,1.5,-0.0120415
-1.65,1.55,-0.0102875
-1.65,1.6,-0.00853363
-1.65,1.65,-0.00748104
-1.65,1.7,-0.00642845
-1.65,1.75,-0.00537587
-1.65,1.8,-0.00432328
-1.65,1.85,-0.00374792
-1.65,1.9,-0.00317257
-1.65,1.95,-0.00259721
-1.6,-2,-0.00226542
-1.6,-1.95,-0.00291008
-1.6,-1.9,-0.00355475
-1.6,-1.85,-0.00419942
-1.6,-1.8,-0.00484409
-1.6,-1.75,-0.00602347
-1.6,-1.7,-0.00720286
-1.6,-1.65,-0.00838225
-1.6,-1.6,-0.00956164
-1.6,-1.55,-0.0115268
-1.6,-1.5,-0.013492
-1.6,-1.45,-0.0154572
-1.6,-1.4,-0.0174224
-1.6,-1.35,-0.0203931
-1.6,-1.3,-0.0233637
-1.6,-1.25,-0.0263344
-1.6,-1.2,-0.029305
-1.6,-1.15,-0.0333543
-1.6,-1.1,-0.0374036
-1.6,-1.05,-0.0414528
-1.6,-1,-0.0455021
-1.6,-0.95,-0.0504315
-1.6,-0.9,-0.0553608
-1.6,-0.85,-0.0602902
-1.6,-0.8,-0.0652195
-1.6,-0.75,-0.0704881
-1.6,-0.7,-0.0757567
-1.6,-0.65,-0.0810253
-1.6,-0.6,-0.0862939
-1.6,-0.55,-0.0910703
-1.6,-0.5,-0.0958468
-1.6,-0.45,-0.100623
-1.6,-0.4,-0.1054
-1.6,-0.35,-0.108759
-1.6,-0.3,-0.112119
-1.6,-0.25,-0.115478
-1.6,-0.2,-0.118838
-1.6,-0.15,-0.12005
-1.6,-0.1,-0.121263
-1.6,-0.05,-0.122475
-1.6,1.20737e-15,-0.123688
-1.6,0.05,-0.122475
-1.6,0.1,-0.121263
-1.6,0.15,-0.12005
-1.6,0.2,-0.118838
-1.6,0.25,-0.115478
-1.6,0.3,-0.112119
-1.6,0.35,-0.108759
-1.6,0.4,-0.1054
-1.6,0.45,-0.100623
-1.6,0.5,-0.0958468
-1.6,0.55,-0.0910703
-1.6,0.6,-0.0862939
-1.6,0.65,-0.0810253
-1.6,0.7,-0.0757567
-1.6,0.75,-0.0704881
-1.6,0.8,-0.0652195
-1.6,0.85,-0.0602902
-1.6,0.9,-0.0553608
-1.6,0.95,-0.0504315
-1.6,1,-0.0455021
-1.6,1.05,-0.0414528
-1.6,1.1,-0.0374036
-1.6,1.15,-0.0333543
-1.6,1.2,-0.029305
-1.6,1.25,-0.0263344
-1.6,1.3,-0.0233637
-1.6,1.35,-0.0203931
-1.6,1.4,-0.0174224
-1.6,1.45,-0.0154572
-1.6,1.5,-0.013492
-1.6,1.55,-0.0115268
-1.6,1.6,-0.00956164
-1.6,1.65,-0.00838225
-1.6,1.7,-0.00720286
-1.6,1.75,-0.00602347
-1.6,1.8,-0.00484409
-1.6,1.85,-0.00419942
-1.6,1.9,-0.00355475
-1.6,1.95,-0.00291008
-1.55,-2,-0.00291008
-1.55,-1.95,-0.00334249
-1.55,-1.9,-0.00408295
-1.55,-1.85,-0.00482341
-1.55,-1.8,-0.00556386
-1.55,-1.75,-0.00691849
